time,base_heading,distance_ball_base,distance_ball_hand
0.8760,0.8300,1.8204,0.0000
0.8770,0.8300,1.8187,0.0000
0.8780,0.8300,1.8177,0.0000
0.8790,0.8300,1.8172,0.0000
0.8800,0.8300,1.8172,0.0000
0.8810,0.8300,1.6638,0.0000
0.8820,0.8300,1.6634,0.0000
0.8830,0.8300,1.6626,0.0000
0.8840,0.8300,1.6614,0.0000
0.8850,0.8300,1.6600,0.0000
0.8860,0.8300,1.5295,0.0000
0.8870,0.8300,1.5270,0.0000
0.8880,0.8300,1.5238,0.0000
0.8890,0.8300,1.5200,0.0000
0.8900,0.8300,1.5158,0.0000
0.8910,0.8300,1.7759,0.0000
0.8920,0.8300,1.7715,0.0000
0.8930,0.8300,1.7681,0.0000
0.8940,0.8300,1.7654,0.0000
0.8950,0.8300,1.7635,0.0000
0.8960,0.8300,1.6182,0.0000
0.8970,0.8300,1.6163,0.0000
0.8980,0.8300,1.6142,0.0000
0.8990,0.8300,1.6119,0.0000
0.9000,0.8300,1.6094,0.0000
0.9010,0.8300,1.4864,0.0000
0.9020,0.8300,1.4831,0.0000
0.9030,0.8300,1.4793,0.0000
0.9040,0.8300,1.4749,0.0000
0.9050,0.8300,1.4702,0.0000
0.9060,0.8300,1.7116,0.0000
0.9070,0.8300,1.7066,0.0000
0.9080,0.8300,1.7026,0.0000
0.9090,0.8300,1.6993,0.0000
0.9100,0.8300,1.6967,0.0000
0.9110,0.8300,1.6946,0.0000
0.9120,0.8300,1.6930,0.0000
0.9130,0.8300,1.6917,0.0000
0.9140,0.8300,1.6907,0.0000
0.9150,0.8300,1.6900,0.0000
0.9160,0.8300,1.5579,0.0000
0.9170,0.8300,1.5567,0.0000
0.9180,0.8300,1.5550,0.0000
0.9190,0.8300,1.5530,0.0000
0.9200,0.8300,1.5507,0.0000
0.9210,0.8300,1.5457,0.0000
0.9220,0.8300,1.5430,0.0000
0.9230,0.8300,1.5401,0.0000
0.9240,0.8300,1.5370,0.0000
0.9250,0.8300,1.5338,0.0000
0.9260,0.8300,1.5304,0.0000
0.9270,0.8300,1.5270,0.0000
0.9280,0.8300,1.5235,0.0000
0.9290,0.8300,1.5200,0.0000
0.9300,0.8300,1.5164,0.0000
0.9310,0.8300,1.5127,0.0000
0.9320,0.8300,1.5090,0.0000
0.9330,0.8300,1.5053,0.0000
0.9340,0.8300,1.5016,0.0000
0.9350,0.8300,1.4978,0.0000
0.9360,0.8300,1.6098,0.0000
0.9370,0.8300,1.6065,0.0000
0.9380,0.8300,1.6037,0.0000
0.9390,0.8300,1.6013,0.0000
0.9400,0.8300,1.5994,0.0000
0.9410,0.8300,1.5977,0.0000
0.9420,0.8300,1.5963,0.0000
0.9430,0.8300,1.5951,0.0000
0.9440,0.8300,1.5941,0.0000
0.9450,0.8300,1.5932,0.0000
0.9460,0.8300,1.5924,0.0000
0.9470,0.8300,1.5918,0.0000
0.9480,0.8300,1.5912,0.0000
