time,base_err
1.071000,-0.220460
1.072000,-0.219553
1.073000,-0.218647
1.074000,-0.217741
1.075000,-0.216835
1.076000,-0.215930
1.077000,-0.215025
1.078000,-0.214120
1.079000,-0.213216
1.080000,-0.212311
1.081000,-0.211406
1.082000,-0.210501
1.083000,-0.209596
1.084000,-0.208691
1.085000,-0.207786
1.086000,-0.206881
1.087000,-0.205976
1.088000,-0.205070
1.089000,-0.204165
1.090000,-0.203259
1.091000,-0.202353
1.092000,-0.201447
1.093000,-0.200541
1.094000,-0.199635
1.095000,-0.198728
1.096000,-0.197821
1.097000,-0.196914
1.098000,-0.196007
1.099000,-0.195100
1.100000,-0.194193
1.101000,-0.193285
1.102000,-0.192377
1.103000,-0.191469
1.104000,-0.190561
1.105000,-0.189653
1.106000,-0.188744
1.107000,-0.187836
1.108000,-0.186927
1.109000,-0.186018
1.110000,-0.185109
1.111000,-0.184200
1.112000,-0.183290
1.113000,-0.182381
1.114000,-0.181471
1.115000,-0.180561
1.116000,-0.179651
1.117000,-0.178741
1.118000,-0.177831
1.119000,-0.176920
1.120000,-0.176010
1.121000,-0.175099
1.122000,-0.174188
1.123000,-0.173277
1.124000,-0.172366
1.125000,-0.171454
1.126000,-0.170543
1.127000,-0.169631
1.128000,-0.168720
1.129000,-0.167808
1.130000,-0.166896
1.131000,-0.165984
1.132000,-0.165108
1.133000,-0.164251
1.134000,-0.163410
1.135000,-0.162582
1.136000,-0.161764
1.137000,-0.160957
1.138000,-0.160156
1.139000,-0.159363
1.140000,-0.158575
1.141000,-0.157791
1.142000,-0.157012
1.143000,-0.156235
1.144000,-0.155462
1.145000,-0.154690
1.146000,-0.153921
1.147000,-0.153153
1.148000,-0.152386
1.149000,-0.151621
1.150000,-0.150856
1.151000,-0.150092
1.152000,-0.149329
1.153000,-0.148566
1.154000,-0.147804
1.155000,-0.147042
1.156000,-0.146280
1.157000,-0.145592
1.158000,-0.144942
1.159000,-0.144323
1.160000,-0.143730
1.161000,-0.143160
1.162000,-0.142609
1.163000,-0.142073
1.164000,-0.141551
1.165000,-0.141040
1.166000,-0.140539
1.167000,-0.140045
1.168000,-0.139558
1.169000,-0.139077
1.170000,-0.138600
1.171000,-0.138128
1.172000,-0.137585
1.173000,-0.137007
1.174000,-0.136400
1.175000,-0.135769
1.176000,-0.135117
1.177000,-0.134448
1.178000,-0.133764
1.179000,-0.133068
1.180000,-0.132361
1.181000,-0.131645
1.182000,-0.131032
1.183000,-0.130469
1.184000,-0.129948
1.185000,-0.129462
1.186000,-0.129005
1.187000,-0.128574
1.188000,-0.128163
1.189000,-0.127770
1.190000,-0.127392
1.191000,-0.127027
1.192000,-0.126635
1.193000,-0.126234
1.194000,-0.125824
1.195000,-0.125408
1.196000,-0.124985
1.197000,-0.124558
1.198000,-0.124126
1.199000,-0.123691
1.200000,-0.123252
1.201000,-0.122812
1.202000,-0.122369
1.203000,-0.121924
1.204000,-0.121477
1.205000,-0.121030
1.206000,-0.120581
